요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
토요일,3,317,경복궁,하선,25.0,24.8,22.5,22.1,34.5,46.4,52.4,57.2,63.2,50.9,63.1,68.4,64.3,55.9,62.6,54.6,54.7,57.8,60.2,54.0,59.5,58.6,67.4,73.5,80.3,64.4,47.0,33.1,25.1,26.1,22.9,21.7,24.3,20.3,15.1,12.7,9.0,0.0,
토요일,3,318,안국,하선,25.0,24.0,21.9,21.6,33.2,45.3,50.5,56.3,60.4,50.4,61.3,66.6,63.5,56.9,63.8,57.1,58.0,63.9,65.7,65.2,71.2,71.2,82.4,90.5,95.7,80.3,60.4,45.7,34.9,34.7,31.2,29.1,31.9,25.6,20.4,14.1,9.4,0.0,
토요일,3,319,종로3가,하선,20.2,18.9,15.3,17.4,21.4,36.1,40.4,43.9,46.0,40.3,47.9,50.9,48.4,44.5,49.0,44.6,46.9,51.0,54.1,53.8,58.0,55.4,69.2,71.9,63.8,58.6,45.8,36.4,30.6,28.9,28.4,25.8,30.1,25.1,19.6,15.1,10.7,0.0,
토요일,3,320,을지로3가,하선,18.0,16.4,13.3,16.3,17.4,32.7,35.8,37.6,39.3,40.4,40.4,44.8,42.9,39.8,42.7,39.9,40.0,47.7,47.5,50.0,49.6,54.2,56.8,61.3,62.8,52.6,43.6,33.3,31.7,29.0,30.0,25.5,31.6,27.8,22.9,18.8,13.6,0.0,
토요일,3,321,충무로,하선,19.5,22.4,15.6,18.8,20.7,35.3,42.5,46.8,41.9,45.9,43.9,46.8,47.1,42.4,44.6,42.9,41.6,48.2,46.9,49.8,50.0,56.5,58.1,61.5,59.7,49.1,43.7,32.1,30.6,29.3,29.1,25.1,32.4,25.7,23.3,17.9,13.7,0.0,
토요일,3,322,동대입구,하선,19.8,21.3,14.5,17.2,19.7,32.5,37.6,43.7,37.5,42.1,40.4,43.8,44.3,39.8,41.6,37.9,42.0,46.1,44.7,47.9,46.7,52.7,55.3,57.8,58.3,49.5,44.1,32.3,31.2,33.6,34.1,28.4,34.2,29.5,22.8,20.3,14.2,0.0,
토요일,3,323,약수,하선,25.8,26.2,18.0,17.9,22.6,35.1,43.5,52.6,44.1,49.2,45.8,50.1,50.8,44.3,47.5,42.0,46.8,48.8,49.3,50.2,50.0,55.1,58.5,60.1,55.3,46.6,42.4,34.2,30.9,32.8,36.3,30.5,32.9,34.3,25.6,21.8,19.7,0.0,
토요일,3,324,금호,하선,27.6,26.8,18.6,18.2,23.4,34.5,43.3,54.5,47.3,48.8,43.9,51.1,51.9,42.6,49.7,42.8,47.0,46.7,50.8,50.0,49.4,54.9,57.1,58.8,56.7,46.2,41.4,33.2,30.1,32.2,35.7,29.8,31.8,33.0,24.7,21.2,18.7,0.0,
토요일,3,325,옥수,하선,30.3,26.8,23.0,19.6,26.0,37.7,48.6,60.8,55.1,53.4,49.0,55.2,58.1,47.7,54.7,46.8,51.5,49.6,54.2,52.8,53.4,57.0,60.5,61.6,59.5,48.2,42.5,34.5,30.7,32.4,35.1,30.3,32.4,33.1,24.9,21.1,18.5,0.0,
토요일,3,326,압구정,하선,10.2,27.7,21.0,17.8,21.8,31.8,39.3,49.2,45.8,47.1,43.8,51.4,52.8,46.0,52.0,49.6,45.8,50.4,54.4,55.4,54.4,60.7,61.1,65.1,60.5,53.2,43.8,37.3,34.1,33.0,40.9,32.5,36.4,36.8,29.3,21.2,16.9,0.0,
토요일,3,327,신사,하선,11.2,24.0,18.2,16.6,17.0,26.7,29.1,32.1,35.4,34.9,37.9,40.3,41.8,38.3,42.8,44.0,37.1,44.2,44.2,47.4,47.2,53.1,51.5,57.1,53.7,44.9,37.8,33.0,29.4,30.7,37.7,31.1,32.9,34.3,26.6,20.8,15.3,0.0,
토요일,3,328,잠원,하선,11.6,23.3,17.9,16.4,17.3,27.2,29.1,32.1,35.5,35.6,38.5,41.1,42.3,40.4,44.3,45.1,37.8,44.4,44.8,47.3,47.5,53.4,52.1,57.0,53.9,44.7,37.7,32.7,29.0,30.5,37.6,30.9,32.8,34.4,26.4,20.6,14.6,0.0,
토요일,3,329,고속터미널,하선,11.9,26.2,22.8,18.0,19.0,30.4,33.6,33.2,38.2,37.1,39.2,40.5,46.6,42.6,50.0,46.2,37.2,48.1,44.3,47.0,45.7,49.7,51.5,52.5,54.4,43.9,39.0,33.4,31.1,31.6,36.9,31.5,30.4,35.1,26.2,18.7,14.9,0.0,
토요일,3,330,교대,하선,14.3,25.8,21.8,17.3,18.7,29.5,30.9,30.2,32.5,30.2,31.4,31.6,38.8,35.4,37.1,40.3,31.3,39.7,37.6,38.6,39.6,36.5,46.3,43.2,44.6,37.1,32.4,29.4,26.0,26.3,29.1,24.2,24.4,29.3,23.5,18.1,13.1,0.0,
토요일,3,331,남부터미널,하선,12.1,19.2,17.5,13.2,15.3,21.8,26.1,24.9,24.7,22.4,23.9,26.1,30.8,27.4,29.6,31.1,24.7,30.2,29.1,31.2,31.8,29.2,37.6,38.5,37.3,30.6,27.4,26.2,22.7,24.0,27.0,23.7,21.3,29.6,21.3,16.1,12.9,0.0,
토요일,3,332,양재,하선,7.9,14.3,8.8,8.6,10.2,16.8,20.3,17.5,18.3,15.9,16.4,16.4,22.5,19.8,25.2,25.9,20.5,20.2,24.1,24.2,25.7,28.0,24.9,31.7,31.0,26.3,23.1,21.6,19.5,19.8,20.6,19.4,17.8,24.5,16.7,12.6,12.8,1.6,
토요일,3,333,매봉,하선,7.9,13.1,8.2,7.9,9.6,15.4,18.1,15.3,17.1,15.5,15.1,15.8,21.7,19.3,23.8,25.2,19.2,19.5,23.1,23.6,24.7,27.3,23.8,30.2,29.2,25.0,21.6,21.0,18.7,19.2,19.7,18.6,17.0,23.9,17.7,13.0,10.6,1.2,
